modelo,reamostragem,parametros,threshold,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,f1_macro,auc_roc,pr_auc_0,taxa_concessao_indevida,taxa_negacao_indevida,tempo_treino_s,tempo_inferencia_por_amostra_ms
Random Forest,com undersampling,"{'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 200}",0.5,0.9359104781281791,0.40718562874251496,0.23943661971830985,0.30155210643015523,0.9545071609098568,0.9786223277909739,0.9664143298859154,0.6339832181580353,0.7999044254731585,0.2685636627218775,0.7605633802816901,0.021377672209026127,1.854854143999546,0.026285410782970448
Logistic Regression,com undersampling,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2'}",0.5,0.7910478128179044,0.18274978650725876,0.7535211267605634,0.2941580756013746,0.9813034188034188,0.7933491686460807,0.8773731343283582,0.5857656049648664,0.8281118366428325,0.301439290723117,0.24647887323943662,0.20665083135391923,0.03208369000094535,0.00022211251265226293
Logistic Regression,sem reamostragem,"{'C': 0.05, 'class_weight': 'balanced', 'penalty': 'l2'}",0.5,0.7945066124109867,0.18324607329842932,0.7394366197183099,0.2937062937062937,0.9803661448660123,0.7978838263873893,0.8797619047619047,0.5867340992340992,0.8271028676920084,0.29678623751509026,0.2605633802816901,0.20211617361261067,0.07894163700075296,0.0001682097660639349
Bernoulli Naive Bayes,sem reamostragem,"{'alpha': 0.5, 'fit_prior': True}",0.5,0.8756866734486266,0.21858864027538727,0.4471830985915493,0.29364161849710985,0.9637748038763267,0.901965018354567,0.931846068042387,0.6127438432697484,0.8013783413067477,0.22201610366711327,0.5528169014084507,0.09803498164543295,0.007318801999645075,0.0006086429297587231
Bernoulli Naive Bayes,com undersampling,"{'alpha': 0.01, 'fit_prior': True}",0.5,0.805086469989827,0.18504672897196262,0.6971830985915493,0.29246676514032494,0.9776332899869961,0.8117037356942345,0.8869749882019821,0.5897208766711535,0.8144668051496193,0.2422614175045467,0.3028169014084507,0.1882962643057655,0.0027691810009855544,0.0006137302138167363
Bernoulli Naive Bayes,sem reamostragem,"{'alpha': 0.01, 'fit_prior': False}",0.5,0.7953204476093592,0.18221830985915494,0.7288732394366197,0.2915492957746479,0.979624239216724,0.7993953789678255,0.8803804994054697,0.5859648975900588,0.8191402246343533,0.2384139950895897,0.2711267605633803,0.20060462103217447,0.00744511499942746,0.0006158441507791871
Random Forest,com undersampling,"{'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",0.5,0.9355035605289929,0.3987730061349693,0.22887323943661972,0.29082774049217003,0.9539141414141414,0.9788382638738933,0.9662154961099861,0.6285216183010781,0.7972455223676327,0.25652673501766265,0.7711267605633803,0.021161736126106674,0.9317318480007089,0.013748168463707761
Logistic Regression,com undersampling,"{'C': 5.0, 'class_weight': 'balanced', 'penalty': 'l2'}",0.5,0.7955239064089522,0.1812555260831123,0.721830985915493,0.28975265017667845,0.979122621564482,0.8000431872165839,0.8805704099821747,0.5851615300794266,0.8238638264482163,0.2890332359340175,0.27816901408450706,0.19995681278341612,0.047272679999878164,0.00024609481208812773
Logistic Regression,sem reamostragem,"{'C': 10.0, 'class_weight': None, 'penalty': 'l1'}",0.5,0.9381485249237029,0.4305555555555556,0.21830985915492956,0.2897196261682243,0.9534688744498009,0.9822932412006046,0.967666453945969,0.6286930400570966,0.840537665639703,0.320473773904225,0.7816901408450704,0.01770675879939538,6.017070726000384,0.00020387182125595747
Logistic Regression,com undersampling,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l1'}",0.5,0.7904374364191251,0.179553264604811,0.7359154929577465,0.2886740331491713,0.9800053319114903,0.7937810408119197,0.8771176330231448,0.582895833086158,0.8222929674788094,0.2763593601664484,0.2640845070422535,0.20621895918808034,0.17268647300079465,0.00020344760961141833
