modelo,reamostragem,parametros,threshold,atende_recall_1_minimo,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,f1_macro,auc_roc,pr_auc_0,taxa_concessao_indevida,taxa_negacao_indevida,negados_corretamente_tn,concessoes_indevidas_fp,negacoes_indevidas_fn,concedidos_corretamente_tp
Random Forest,com undersampling,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.35,True,0.9273652085452696,0.3983286908077994,0.5035211267605634,0.4447900466562986,0.9690517998244074,0.9533578060893976,0.9611407423533254,0.702965394504812,0.8486056155546972,0.43434407880596615,0.4964788732394366,0.04664219391060246,143,141,216,4415
Random Forest,sem reamostragem,"{'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.8,True,0.945676500508647,0.5435897435897435,0.3732394366197183,0.44258872651356995,0.9622881355932204,0.9807816886201685,0.9714469040744306,0.7070178152940003,0.8608060042396466,0.41737282629325334,0.6267605633802817,0.01921831137983157,106,178,89,4542
Extra Trees,sem reamostragem,"{'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.8,True,0.9440488301119023,0.5215311004784688,0.38380281690140844,0.4421906693711968,0.9628134296642584,0.9784063917080544,0.9705472849951805,0.7063689771831887,0.8440964291471131,0.40971479240076564,0.6161971830985915,0.021593608291945583,109,175,100,4531
Extra Trees,com undersampling,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.4,True,0.911088504577823,0.3460764587525151,0.6056338028169014,0.44046094750320103,0.974649162516976,0.9298207730511768,0.9517073709802188,0.69608415924171,0.8318766518350005,0.3264327406076446,0.39436619718309857,0.07017922694882314,172,112,325,4306
Extra Trees,com undersampling,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.35,True,0.9169888097660224,0.36036036036036034,0.5633802816901409,0.43956043956043955,0.9722657123685976,0.9386741524508745,0.9551746868820039,0.6973675632212217,0.8318766518350005,0.3264327406076446,0.43661971830985913,0.061325847549125456,160,124,284,4347
Extra Trees,com undersampling,"{'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.6,True,0.9163784333672431,0.3585746102449889,0.5669014084507042,0.4392905866302865,0.9724585759068518,0.9378104081191967,0.9548202704188193,0.6970554285245529,0.8415447337447269,0.3594843364569401,0.43309859154929575,0.06218959188080328,161,123,288,4343
Random Forest,com undersampling,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.45,True,0.9116988809766022,0.3469387755102041,0.5985915492957746,0.4392764857881137,0.9742372881355932,0.9309004534657741,0.9520759717314488,0.6956762287597812,0.8486056155546972,0.43434407880596615,0.4014084507042254,0.06909954653422587,170,114,320,4311
Extra Trees,sem reamostragem,"{'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.8,True,0.9442522889114954,0.5245098039215687,0.3767605633802817,0.4385245901639344,0.9624283591594142,0.9790541999568128,0.9706700920573753,0.7045973411106549,0.8449324211301061,0.4114216677546915,0.6232394366197183,0.020945800043187218,107,177,97,4534
Logistic Regression,sem reamostragem,"{'C': 10.0, 'class_weight': None, 'penalty': 'l2'}",0.7,True,0.9353001017293998,0.4397163120567376,0.43661971830985913,0.4381625441696113,0.9654651413770775,0.965882098898726,0.9656735751295337,0.7019180596495724,0.8412405984166714,0.33258983551320853,0.5633802816901409,0.03411790110127402,124,160,158,4473
Logistic Regression,sem reamostragem,"{'C': 10.0, 'class_weight': None, 'penalty': 'l1'}",0.7,True,0.9324516785350967,0.4215686274509804,0.45422535211267606,0.43728813559322033,0.9663701453677588,0.9617793133232563,0.9640692640692641,0.7006786998312422,0.840537665639703,0.320473773904225,0.545774647887324,0.038220686676743686,129,155,177,4454
